age group,gender,year,involvement rate,drivers,severity of crash
<16,Female,2017,*,38,Fatal crash
16 - 20,Female,2017,21.68,"1,282",Fatal crash
21-24,Female,2017,19.04,"1,351",Fatal crash
25-34,Female,2017,14.4,"2,874",Fatal crash
35-44,Female,2017,11.39,"2,128",Fatal crash
45-54,Female,2017,10.29,"2,027",Fatal crash
55-64,Female,2017,8.7,"1,735",Fatal crash
65-74,Female,2017,8.16,"1,145",Fatal crash
>74,Female,2017,11.19,960,Fatal crash
<16,Female,2017,*,"6,000",Injury crash
17 - 20,Female,2017,"3,181","188,000",Injury crash
21-25,Female,2017,"2,376","169,000",Injury crash
25-35,Female,2017,"1,758","351,000",Injury crash
35-45,Female,2017,"1,464","274,000",Injury crash
45-55,Female,2017,"1,220","240,000",Injury crash
55-65,Female,2017,914,"182,000",Injury crash
65-75,Female,2017,711,"100,000",Injury crash
>74,Female,2017,659,"57,000",Injury crash
<16,Male,2017,*,107,Fatal crash
16 - 20,Male,2017,49.02,"2,993",Fatal crash
21-24,Male,2017,50.32,"3,655",Fatal crash
25-34,Male,2017,40.25,"7,998",Fatal crash
35-44,Male,2017,33.07,"6,086",Fatal crash
45-54,Male,2017,31.26,"6,089",Fatal crash
55-64,Male,2017,28.77,"5,534",Fatal crash
65-74,Male,2017,22.27,"2,962",Fatal crash
>74,Male,2017,28.04,"2,160",Fatal crash
<16,Male,2017,*,"8,000",Injury crash
17 - 20,Male,2017,"3,599","220,000",Injury crash
21-25,Male,2017,"2,882","209,000",Injury crash
25-35,Male,2017,"2,159","429,000",Injury crash
35-45,Male,2017,"1,747","321,000",Injury crash
45-55,Male,2017,"1,511","294,000",Injury crash
55-65,Male,2017,"1,270","244,000",Injury crash
65-75,Male,2017,"1,017","135,000",Injury crash
>74,Male,2017,901,"69,000",Injury crash
<16,Female,2016,53,*,Fatal crash
16 - 20,Female,2016,"1,360",23.01,Fatal crash
21-24,Female,2016,"1,384",19.36,Fatal crash
25-34,Female,2016,"2,843",14.46,Fatal crash
35-44,Female,2016,"2,036",11.06,Fatal crash
45-54,Female,2016,"1,967",9.91,Fatal crash
55-64,Female,2016,"1,645",8.42,Fatal crash
65-74,Female,2016,"1,133",8.48,Fatal crash
>74,Female,2016,938,11.43,Fatal crash
<16,Female,2016,*,"7,000",Injury crash
17 - 20,Female,2016,"3,552","210,000",Injury crash
21-25,Female,2016,"2,845","203,000",Injury crash
25-35,Female,2016,"2,104","414,000",Injury crash
35-45,Female,2016,"1,626","299,000",Injury crash
45-55,Female,2016,"1,326","263,000",Injury crash
55-65,Female,2016,995,"195,000",Injury crash
65-75,Female,2016,756,"101,000",Injury crash
>74,Female,2016,637,"52,000",Injury crash
<16,Male,2016,125,*,Fatal crash
16 - 20,Male,2016,"3,090",50.72,Fatal crash
21-24,Male,2016,"3,897",53.31,Fatal crash
25-34,Male,2016,"8,065",41.3,Fatal crash
35-44,Male,2016,"6,140",33.93,Fatal crash
45-54,Male,2016,"6,052",30.95,Fatal crash
55-64,Male,2016,"5,390",28.62,Fatal crash
65-74,Male,2016,"3,021",23.76,Fatal crash
>74,Male,2016,"2,076",27.95,Fatal crash
<16,Male,2016,*,"8,000",Injury crash
17 - 20,Male,2016,"3,978","242,000",Injury crash
21-25,Male,2016,"3,187","233,000",Injury crash
25-35,Male,2016,"2,430","475,000",Injury crash
35-45,Male,2016,"1,981","358,000",Injury crash
45-55,Male,2016,"1,721","337,000",Injury crash
55-65,Male,2016,"1,414","266,000",Injury crash
65-75,Male,2016,"1,038","132,000",Injury crash
>74,Male,2016,"1,094","81,000",Injury crash
<16,Female,2015,*,41,Fatal crash
16 - 20,Female,2015,22.73,"1,313",Fatal crash
21-24,Female,2015,18.04,"1,288",Fatal crash
25-34,Female,2015,13.18,"2,544",Fatal crash
35-44,Female,2015,10.72,"1,959",Fatal crash
45-54,Female,2015,9.28,"1,848",Fatal crash
55-64,Female,2015,7.79,"1,499",Fatal crash
65-74,Female,2015,7.78,998,Fatal crash
>74,Female,2015,11.12,884,Fatal crash
<16,Female,2015,*,"17,000",Injury crash
17 - 20,Female,2015,"3,065","177,000",Injury crash
21-25,Female,2015,"2,292","164,000",Injury crash
25-35,Female,2015,"1,597","308,000",Injury crash
35-45,Female,2015,"1,343","245,000",Injury crash
45-55,Female,2015,"1,067","212,000",Injury crash
55-65,Female,2015,872,"168,000",Injury crash
65-75,Female,2015,666,"85,000",Injury crash
>74,Female,2015,587,"47,000",Injury crash
<16,Male,2015,*,112,Fatal crash
16 - 20,Male,2015,49.28,"2,944",Fatal crash
21-24,Male,2015,51.22,"3,723",Fatal crash
25-34,Male,2015,39.01,"7,445",Fatal crash
35-44,Male,2015,32.4,"5,808",Fatal crash
45-54,Male,2015,31,"6,067",Fatal crash
55-64,Male,2015,27.16,"5,019",Fatal crash
65-74,Male,2015,22.92,"2,795",Fatal crash
>74,Male,2015,26.36,"1,878",Fatal crash
<16,Male,2015,*,"19,000",Injury crash
17 - 20,Male,2015,"3,310","198,000",Injury crash
21-25,Male,2015,"2,618","190,000",Injury crash
25-35,Male,2015,"1,969","376,000",Injury crash
35-45,Male,2015,"1,615","290,000",Injury crash
45-55,Male,2015,"1,405","275,000",Injury crash
55-65,Male,2015,"1,180","218,000",Injury crash
65-75,Male,2015,952,"116,000",Injury crash
>74,Male,2015,913,"65,000",Injury crash
<16,Female,2014,*,35,Fatal crash
16 - 20,Female,2014,19.64,"1,118",Fatal crash
21-24,Female,2014,16.26,"1,153",Fatal crash
